datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,day,hour,month,year
2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,20,0,1,2011
2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0,20,1,1,2011
2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0,20,2,1,2011
2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,20,3,1,2011
2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,20,4,1,2011
2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,20,5,1,2011
2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,20,6,1,2011
2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,20,7,1,2011
2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,20,8,1,2011
2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,20,9,1,2011
2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,20,10,1,2011
2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,20,11,1,2011
2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0,20,12,1,2011
2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,20,13,1,2011
2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,20,14,1,2011
2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,20,15,1,2011
2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,20,16,1,2011
2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,20,17,1,2011
2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,20,18,1,2011
2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,20,19,1,2011
2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,20,20,1,2011
2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,20,21,1,2011
2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,20,22,1,2011
2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,20,23,1,2011
2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,21,0,1,2011
2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,21,1,1,2011
2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,21,2,1,2011
2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,21,3,1,2011
2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,21,4,1,2011
2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,21,5,1,2011
2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979,21,6,1,2011
2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012,21,7,1,2011
2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028,21,8,1,2011
2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994,21,9,1,2011
2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009,21,10,1,2011
2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009,21,11,1,2011
2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007,21,12,1,2011
2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007,21,13,1,2011
2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008,21,14,1,2011
2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026,21,15,1,2011
2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994,21,16,1,2011
2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994,21,17,1,2011
2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979,21,18,1,2011
2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028,21,19,1,2011
2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993,21,20,1,2011
2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012,21,21,1,2011
2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027,21,22,1,2011
2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028,21,23,1,2011
2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979,22,0,1,2011
2011-01-22 01:00:00,1,0,0,2,1.64,0.0,41,26.0027,22,1,1,2011
2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979,22,2,1,2011
2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012,22,3,1,2011
2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995,22,4,1,2011
2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013,22,6,1,2011
2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012,22,7,1,2011
2011-01-22 08:00:00,1,0,0,1,0.82,0.0,44,22.0028,22,8,1,2011
2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979,22,9,1,2011
2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014,22,10,1,2011
2011-01-22 11:00:00,1,0,0,2,2.46,3.79,38,8.9981,22,11,1,2011
2011-01-22 12:00:00,1,0,0,2,2.46,5.305,38,7.0015,22,12,1,2011
2011-01-22 13:00:00,1,0,0,1,3.28,8.335,35,0.0,22,13,1,2011
2011-01-22 14:00:00,1,0,0,1,4.1,6.82,33,7.0015,22,14,1,2011
2011-01-22 15:00:00,1,0,0,1,4.92,7.575,28,0.0,22,15,1,2011
2011-01-22 16:00:00,1,0,0,1,4.92,6.82,28,12.998,22,16,1,2011
2011-01-22 17:00:00,1,0,0,1,4.92,9.85,28,0.0,22,17,1,2011
2011-01-22 18:00:00,1,0,0,1,3.28,4.545,35,12.998,22,18,1,2011
2011-01-22 19:00:00,1,0,0,1,3.28,5.305,35,8.9981,22,19,1,2011
2011-01-22 20:00:00,1,0,0,1,2.46,3.79,45,11.0014,22,20,1,2011
2011-01-22 21:00:00,1,0,0,1,2.46,5.305,41,6.0032,22,21,1,2011
2011-01-22 22:00:00,1,0,0,1,2.46,7.575,49,0.0,22,22,1,2011
2011-01-22 23:00:00,1,0,0,1,1.64,3.79,57,7.0015,22,23,1,2011
2011-01-23 00:00:00,1,0,0,1,1.64,3.79,57,7.0015,23,0,1,2011
2011-01-23 01:00:00,1,0,0,1,1.64,3.79,57,7.0015,23,1,1,2011
2011-01-23 02:00:00,1,0,0,1,0.82,3.03,62,8.9981,23,2,1,2011
2011-01-23 03:00:00,1,0,0,1,0.82,3.03,62,8.9981,23,3,1,2011
2011-01-23 05:00:00,1,0,0,2,1.64,3.79,57,7.0015,23,5,1,2011
2011-01-23 06:00:00,1,0,0,2,1.64,3.79,57,7.0015,23,6,1,2011
2011-01-23 07:00:00,1,0,0,1,3.28,5.305,58,11.0014,23,7,1,2011
2011-01-23 08:00:00,1,0,0,1,2.46,3.79,62,11.0014,23,8,1,2011
2011-01-23 09:00:00,1,0,0,1,4.1,3.79,54,23.9994,23,9,1,2011
2011-01-23 10:00:00,1,0,0,1,5.74,5.305,46,26.0027,23,10,1,2011
2011-01-23 11:00:00,1,0,0,1,5.74,6.82,43,15.0013,23,11,1,2011
2011-01-23 12:00:00,1,0,0,1,6.56,6.06,37,31.0009,23,12,1,2011
2011-01-23 13:00:00,1,0,0,1,5.74,5.305,33,26.0027,23,13,1,2011
2011-01-23 14:00:00,1,0,0,1,6.56,6.82,28,23.9994,23,14,1,2011
2011-01-23 15:00:00,1,0,0,1,6.56,6.82,28,23.9994,23,15,1,2011
2011-01-23 16:00:00,1,0,0,1,6.56,6.82,26,22.0028,23,16,1,2011
2011-01-23 17:00:00,1,0,0,1,5.74,5.305,26,26.0027,23,17,1,2011
2011-01-23 18:00:00,1,0,0,1,4.92,6.06,30,16.9979,23,18,1,2011
2011-01-23 19:00:00,1,0,0,1,4.92,6.06,30,19.0012,23,19,1,2011
2011-01-23 20:00:00,1,0,0,1,4.1,5.305,36,16.9979,23,20,1,2011
2011-01-23 21:00:00,1,0,0,1,4.1,5.305,36,12.998,23,21,1,2011
2011-01-23 22:00:00,1,0,0,1,3.28,4.545,38,12.998,23,22,1,2011
2011-01-23 23:00:00,1,0,0,1,2.46,3.03,41,15.0013,23,23,1,2011
2011-01-24 00:00:00,1,0,1,1,2.46,3.03,41,12.998,24,0,1,2011
2011-01-24 01:00:00,1,0,1,1,1.64,2.275,45,12.998,24,1,1,2011
2011-01-24 03:00:00,1,0,1,1,1.64,1.515,45,16.9979,24,3,1,2011
2011-01-24 04:00:00,1,0,1,1,0.82,3.03,48,8.9981,24,4,1,2011
